numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
P1012,CLI-123,2026-03-20,PENDIENTE,ZONA1,true
P-1013,CLI-123,2026-03-20,PENDIENTE,ZONA1,true
P1014,CLI-000,2026-03-20,PENDIENTE,ZONA1,true
P1015,CLI-123,2024-01-10,PENDIENTE,ZONA1,true
P1016,CLI-123,2026-03-20,ANULADO,ZONA1,true
P1017,CLI-123,2026-03-20,PENDIENTE,ZONA9,true
P1018,CLI-123,2026-03-20,PENDIENTE,ZONA5,true
P1019,CLI-123,2026-03-20,PENDIENTE,ZONA1,SI
P1012,CLI-999,2026-03-21,CONFIRMADO,ZONA5,false
P1020,CLI-999,2026-03-21,ENTREGADO,ZONA5,false
